b_id,is_chain,date_diff,month_rev,tips_count
--6COJIAjkQwSUZci_4PJQ,0,1862.09010416688,2.04,0
--kyOk0waSrCDlbSvYtAOw,0,786.401886573993,2.1429,210
-0UIE35shTwWaAfQJmuL3A,1,1487.0157986111,1.0,36
-1rvXk4zbX3I6ddMCtPlmQ,0,3416.09677083371,1.5606,0
-2outMmpJnEX_lWNjw1-OQ,1,2250.64508101856,1.2353,0
-3WdGZdZKHbi8-KorPggtw,1,1498.72665509256,1.8636,0
-3hOKrEHuGaDR9WiaG-KKw,1,4932.23331018537,1.2742,1488
-46xMTOB-R7JD_ydEEyiAQ,1,660.5052199075,1.0,0
-4ORLtNklDgq3MbrOU4tGw,0,663.124953703489,2.6667,810
-4bP1UUgpZumIu6DZMaMzw,1,3907.36763888923,4.5574,65880
-4ofMtrD7pSpZIX5pnDkig,0,5617.75356481504,8.2809,587400
-5NFdPKLQfY4Wfw0pH8cbg,1,2706.27767361095,1.0,0
-5OGOW6DVPYbJNQ5Jl4ymw,1,3531.88461805554,1.1538,832
-5gWvrcKOPmhlcZju3tpbw,1,5050.06777777802,7.303,71280
-5wOIgIfCMPI5LJ6uSlkig,1,3809.92400462972,1.1538,0
-68H1PxpVbAKiIoYjjW1fQ,0,1583.40625,2.4242,3960
-68Xf4rOwkeNdkZ1jI8VXw,1,2543.09587962972,1.0,0
-6jyyOsWGQIX32FBg0FFIQ,1,5024.40515046287,1.0857,0
-7CIbb8NKuveTuYItSkHnQ,1,3383.96278935205,1.2333,1080
-7m5rxrbMalZR2BK6J4zeQ,1,3915.14741898142,1.3023,688
-8LdHGN1xVpmvfy0efwzqg,0,1233.0340509261,10.1579,10640
-8N16tYqXP-ixDDzwDoVnA,1,413.943541666493,1.5714,0
-9ap9pStLtFBYoMLRl7hVA,0,4730.01594907371,1.4932,22995
-9ibe_BsPuAt1dxhkozWQg,1,757.851041666698,1.3,70
-9jPmg82MPYqq1xKIfGrFw,0,2976.1102430555,1.1176,0
-B6ydGR1yD4geo3k1u9zsQ,1,1434.40527777746,1.1111,0
-BXIA0X0eQgDVcvSahIbXA,1,4223.72447916679,1.6667,0
-Bj2in9Cp19RxmLKP2MYMw,1,1846.87775462959,3.38,0
-CHlGEdV6LD8dM6-YUgJAQ,1,2725.02519675903,1.0,0
-CIELiR1s61cZ3GWrTkIPg,0,4803.31665509241,1.3968,7560
-DKCbS-jQRwAy5YiVuf1Pg,0,2188.94510416687,1.2308,1248
-E5rmcvDYB6cVSQKVoPxyA,1,1129.02062500035,1.0,0
-ED6173Uda-AiAWqEHIhuA,0,1879.17837962927,1.1053,665
-EVCRmyE5G4QW6KXTGGDvQ,1,3235.05648148153,1.129,186
-FOqCVwHqHplEU60c8Dh7g,0,926.756319444627,1.2727,176
-FcdUpH4E50NqqOqagcMnQ,0,587.924791666679,4.1538,0
-FrcG-8YSlN1b5i0eGGqBA,1,569.424027777743,1.2727,264
-G8UiqYsysIPY3FRmKoTqw,0,2675.34770833328,1.4516,744
-GAIdsxdAqVf877a3vXIFw,1,3466.45023148134,1.2222,0
-H_cbWJ6Wqe5lxRm4l7h_w,0,531.636307870504,4.2,0
-HfxEoo3wIWFApvuDcHEGg,0,1563.43864583317,4.0652,0
-HjayLF2yCjClP4pZHcXIA,1,2283.86209490709,3.1385,9880
-Hu7PC--1dnCtUKjvwITpA,1,3169.11341435183,1.2105,0
-I2a_C-4M8BWa2F8uFqUHA,0,841.811388888862,1.4375,0
-IIvmjoEKa9Trhf4OxzJeA,0,1246.89306712989,19.525,0
-IOP1nLvNeYDkGQDp49xnQ,1,4069.96094907448,3.3615,62400
-IWVTkOtAOobJw3mKh1ZJg,1,2530.24243055517,1.6136,4928
-Iv0DEJDr_F6urwThI2Sew,1,3570.24225694407,1.0435,0
-JLZ42Ag4INZwFBXdCg65Q,0,1848.29799768515,1.2857,210
-JmmzX_t8XByqeHpIr4mpw,1,1558.1630208334,1.0,0
-Jr-eZdPDgjM4SuCLnRQ7A,1,987.568692129571,1.5385,0
-JscrFaGkmTqzzWhS5_FQQ,0,898.725196759216,1.7826,0
-KOvK6UIi158nXViSLLn1A,0,88.3265393520705,5.75,0
-KeU9q_-4Fpede3ubYnMVA,0,828.205833333079,3.9583,0
-LRoPheluHorwU2XFib1-Q,0,532.181759259198,1.25,48
-LxfLVK0x5dBxjM4Y8DBNA,1,4025.02013888862,1.3056,1152
-M3ym49CjhILGvWWYW-rcg,0,855.493553240784,1.2941,51
-MNeNjWb_jxSb8eQ2KaRnw,1,2754.83280092571,1.0,0
-M_2-RVQ0JifZO13sjS4QQ,1,2193.20179398172,1.4737,228
-N9QgMA3urFjOx4J_nUeAg,1,3145.11769675929,1.0833,0
-NbWINJ_hiBbZYZ2VJbJEA,1,2721.77019675961,1.2857,0
-NxOGTleD3ROHo3t96SnfA,1,1156.83325231448,1.0,0
-OPJmI98OfSf9mNHC_VLYA,0,4315.62747685192,1.1786,0
-PBAG7L0zQ7PfnT7LdzHLA,0,2175.17519675894,1.0,0
-PCVV0acyWThXFHH-_2YyQ,1,875.086851851549,3.2917,1008
-PCt4yvejm4mu7Aa0GGVDA,0,1318.62494212948,2.1515,2574
-PEBtefS0l-HSyNuQ3LQmA,1,1354.47920138901,1.0,0
-R-M4iJyjk7s9Z4JK7hYlw,0,3482.73702546302,1.1667,2160
-RStLKSNyENyOK5_kUEPtg,1,1815.97453703731,1.8864,3696
-RjSyGMU0wZrpahALI5bMw,0,333.85322916694,10.1667,840
-SNBxwUCoc_2kSrNccOIUA,0,680.751770833507,1.9231,0
-T7lxEClfLr5oxLfgPL9hw,0,1658.0387152778,1.2857,0
-T9cW3YfcHq4tLHyhPMZDQ,1,2468.70466435188,1.1818,132
-TbxAAOY2Q_3lNmFJoBNzg,1,2747.53846064815,1.0,0
-Ty3gImjPGD2Ubt9GVqH-Q,0,3674.05918981461,2.67,4000
-UZpO7uaKeSN7Y7NJGPitw,0,2881.17665509228,1.4074,0
-VGcpn-vkcnAUTJuLBSalA,0,108.921712962911,1.4,0
-VJI_XuNdlx8GJMyMnu_Nw,1,1489.00123842619,1.2143,84
-WBMm8eU_LY52Zo1FsNtcQ,1,4528.27855324093,1.1837,0
-XOAzMXCWX8BvxFAcrfpTA,0,1136.86530092591,4.4444,0
-XXdXbhjr0hSkloidEJGOg,0,4262.8249768517,1.25,0
-XxrkVtHtQrPQBgbBNrYGg,0,5469.28574074106,3.2899,5520
-XzEGiR_PU5wQP5fIL52uA,1,2761.15585648129,1.0769,0
-YAhnbyiKuZgpYmpQJ8RcQ,0,2524.19317129627,1.24,0
-YVIMScrqNoGiyhdRjgw4A,1,1719.83312499989,1.1818,66
-YrxXJhhKL06p8StGvGgpw,0,3307.23785879603,1.2703,0
-ZgFnVzNcSDkbaBVMZ1pBA,0,2343.59214120358,1.4571,8400
-_uifLaFoj8YQKWee_7c5A,1,4758.99703703728,1.1053,0
-_wNdVIqkvUYuY9DHAm7Zw,1,3894.80585648119,1.1795,2730
-aF3p9C32NA25DIyzsqhfA,1,3525.98785879649,1.0,0
-aRP7LbZnNEcIBlXZSCzaQ,1,3779.57993055554,1.0,0
-aRu1BAs4mWiWL6keT_I3A,0,2676.16225694446,2.2329,8176
-bOmRRhtdCiRzhPGEV63xw,0,1204.7854282409,3.9444,3456
-ccHz9bHJN6cRKOTi7-VDg,1,4120.9461805555,1.1429,252
-ckVNeO14UipGHbIczIBSA,1,2492.06328703696,1.5,0
-d473gtB7sazHlWu_1a2CA,1,1212.54853009293,6.1471,6664
-d684OeXkLfmq6gaY9vtnQ,1,3405.69973379653,1.0833,11760
-diZAALtW-OwKi-wDId6lg,1,2264.96983796312,1.2143,350
-dyaWHa-RhofzII6R7NnaQ,0,737.108437499963,1.8333,432
-eD4Oq2hheyTXvu9d_wrMw,1,2327.55387731502,1.087,0
-fWdb4zsQ1ooYsF1banUYw,1,4731.5316319447,1.2333,0
-gPYgcoIndVclg3G3MCfAg,0,814.93913194444,2.0667,90
-iVKx5CeFQlDy3PgfSpHpA,0,1266.64937500004,2.9429,1225
-jYTujqBWxRlyhEiLoq9Nw,0,2379.24730324093,1.9412,2856
-jpabN5_l9HWHoAdSq13wg,1,2972.18864583364,1.3111,11700
-kgHwMfId_zeba5Cr04jFw,0,116.650925925933,3.5,0
-lY3lB_-zDY5EKo0WW1dVA,1,4060.79245370347,1.1923,208
-n1eANfLUHTIznHhiOwfOw,0,493.062928240746,5.875,0
-nGHYompI-DvJBkC-T0tRQ,0,86.331365740858,2.0,0
-nLA4TnhOzwoDBpMWnLjwQ,0,1190.99928240757,1.6,360
-nmG7xnWDYUvXiRyKH7VsQ,1,3281.52577546285,1.1667,0
-oSoAhuGBwGzrN1TTwAIXA,0,1885.9812268517,1.9783,1610
-otJFk9L8_QDVpyrCifoFw,1,1650.1231018519,1.5313,256
-oxS76n26AMYLN3SocA1mg,0,1673.38435185142,3.8679,0
-pQ3wH2H2ZOOUDOXhIXMig,0,937.919687500224,2.2,160
-qLKebUZHQ4eYqPGKb_iKg,0,681.381932870485,2.0,0
-tbVzQXDvi5F8JCkebCpgQ,1,4041.26010416634,1.0345,261
-tpAK8xfIke0V_W4AFrdKg,0,1529.24328703713,1.6389,0
-txyUpPyrwRkE3qG4B5hIQ,0,2076.65567129618,1.0,864
-vTFhzw-bjehcn8wyz0zgQ,0,4616.97332175914,1.5977,19488
-vfA94neDgucLGUHD2nw4A,1,3424.33908564784,1.2083,144
-vgpHBIr7JsDcX369uW_AQ,1,4759.0703125,1.0714,0
-vmadL_QwSu1NngViM0ocg,1,4609.52821759274,1.5556,2880
-wELL9Bj5JGwKUmsHKoegA,1,1855.54190972215,1.8684,16416
-yY6-4IdWnMgcDv4xdzigw,1,1846.16711805528,1.3793,348
-zd0B8CJEW-vlAwjTRBogw,1,862.163599536754,1.1538,39
-zgY2-7-VeJywPOrzb52KQ,1,3119.6642361111,1.0,72
0-ATDOhApA6qg17vpIzQkg,1,4947.61754629621,1.0909,198
00-H6M2UsIiHPD-uCW6CKQ,1,3509.28702546284,2.129,2976
00UJcu3oGSspxEhGFeaEJA,1,5369.94640046265,1.475,19200
00wZ5kMWv--ERHojiC7q8w,1,2996.12708333321,1.0,0
01Pp2FRewowRy0J9BZdpfA,0,1205.59825231507,1.0,0
023THgSmMx1Q_FSUnDXIOw,1,3349.86259259237,1.0588,0
03S87vDGKI8tTA-7q116Cg,0,3712.34285879647,1.0,0
03o1CqC4vkPbEvS02AnZXg,0,2028.06081018504,4.2407,0
05pmc_4J0TxoZrft1QxmJg,1,3343.17827546317,1.3871,837
05x43IZtLE1iEvydLEmlHQ,0,1674.78796296287,1.25,0
067i6B5ZT8v-TH-Vqv05dQ,1,1622.08890046319,1.0769,0
067ooRlF2GMgUu6XBOEF2A,1,2477.24591435166,1.0,0
06Py1pH7IqL--eQL5ddocg,0,4864.76809027791,3.7241,237510
06WcPfwoFkN5Q3JgmsjkxQ,1,1725.0387152778,1.0,0
06feX4qEHFMcPZsiWtvYfw,1,2474.59072916675,10.5641,115440
078eaXgiwUiJRYezr1EFoA,1,3274.41812499985,1.0,0
07bQSgVC2VQdqp9gHbl1SQ,0,2885.5305555556,1.125,0
08n38tS38iznDwL_XtA2FQ,0,3463.80697916681,2.7843,77112
098i8NK7Ezy23kPQQHUd_A,0,3049.07018518541,1.2143,0
09F41f4eWPtpqafHPJsH6g,0,2375.42344907392,1.4348,0
09y5dixaWBbf8lBQQFsQcw,1,4481.92457175907,1.1556,0
0AQDpwxlOA2HzC6vU-jilw,0,1922.22774305567,1.75,0
