business_id,name,address,city,state,latitude,longitude,stars,cluster_label
wKFF-JKmrj0k-un__fbTbw,Be Map,SW 10th Ave & SW Washington St,Portland,OR,45.521343,-122.681366,3.0,1
y2gFcAVBXmVxFXAugRe5ig,Scrumptious Crumpets,7414 SE Milwaukie Ave,Portland,OR,45.47107,-122.64827,5.0,1
XrrIr0HukWA5hvM62ir65g,Tapio Tea,1145-2551 No 6 Rd,Richmond,BC,49.194168,-123.069725,4.5,1
XfgeAAj9r0dRbUZYcjacgg,Dunkin',946 W State Road 436,Altamonte Springs,FL,28.664944,-81.42231,2.5,0
IuXMZPgNgjetmueLxvhYfw,Dunkin',2060 N High St,Columbus,OH,40.00419,-83.00835,4.0,0
uFwCngppzpAp8mHAvAMPIA,7-Eleven,464 Hanover St,Boston,MA,42.367092,-71.052795,3.0,2
EGLOKQocFPI7048e2uZnaA,Tim Hortons,2501 Main Street,Vancouver,BC,49.26277,-123.1014,2.5,1
J2HLXhqKWGSM5l25sbbLKA,Tart,2128 SE Division St,Portland,OR,45.504745,-122.6438,4.0,1
PgUD9lx6hrk6sQOMcaLjeg,Tim Hortons,9591 Ladner Trunk Road,Delta,BC,49.091995,-122.95785,2.5,1
eUFVJ725CSu1daOGV5efpg,Dunkin',2435 Old Canoe Creek Rd,Saint Cloud,FL,28.230228,-81.31764,2.5,0
ELZHMyDy4IXZOfsroljBVw,Italian Cafe Gelato,17 Chestnut St,Quincy,MA,42.24959,-71.001434,4.5,2
6nrH9eONhS8UzHIaLYPEuw,Limoo Tea Bar,1032 Commonwealth Ave,Boston,MA,42.35156,-71.12222,4.0,2
UebimivAeo1sMTExwxwxnA,Petsi Pies,31 Putnam Ave,Cambridge,MA,42.36896,-71.11363,4.0,2
FuCx_MkgCkwpsAs8wXt-Qw,Starbucks,7015 West US Hwy 290,Austin,TX,30.232506,-97.87405,3.5,0
5jtroYtLw7cv_5wq8SS50w,Albina Press,4637 N Albina Ave,Portland,OR,45.556763,-122.675186,4.0,1
hTp23z3Q5PCvuGvKTIQtXw,Madam Mam's - Austin,510 W 26th St,Austin,TX,30.291002,-97.74231,3.0,0
Ke3_d3YNQxlAo8Fg3WSE2Q,Jaho Coffee & Tea,1651 Washington St,Boston,MA,42.33788,-71.0755,3.5,2
QuuwB5oonYd---NfIm_mZw,Starbucks,1 South Station,Boston,MA,42.35188,-71.05515,1.5,2
cN7dOZAw0GlDA6hXzKz8XA,MoMo Cafe,649 Hancock St,Quincy,MA,42.26809,-71.01704,4.0,2
6cPIwp0q2FrRIrPAR-Axbw,Caffe D'arte,1615 NE 15th Ave,Portland,OR,45.534542,-122.65069,4.0,1
beA4M0Ci4qhyWBBoo503cw,Dunkin',859 Main St,Waltham,MA,42.376408,-71.24533,2.0,2
aS5Wfdw8foYOYhLMIn2ZwQ,Fortissimo Coffeehouse,75 Bow St,Somerville,MA,42.381535,-71.099785,4.0,2
IK7oBE3ZQPJ4jT_NsDdkeQ,Dry Storage,"3601 Arapahoe Ave, Unit D-181",Boulder,CO,40.01483,-105.24731,4.5,1
P9M_XkKxOQhRjfgLiXAtdA,Dunkin',"675 W Peachtree St NW, Ste C10",Atlanta,GA,33.773415,-84.386925,3.0,0
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,0
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,1
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,0
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,2
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,0
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,1
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,1
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,2
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,1
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,1
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,1
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,1
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,2
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,2
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,0
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,1
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,0
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,0
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,0
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,2
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,1
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,1
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,0
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,0
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,2
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,1
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,2
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,0
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,1
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,1
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,0
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,0
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,0
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,0
#NAME?,McDonald's,9303 Jeff Fuqua Blvd,Orlando,FL,28.43117,-81.30805,3.0,1
